  0, 62.6,  16527, 432.770874, 1.000000, 0.929801
  1, 61.8,   8263, 216.372345, 1.500000, 0.886170
  2, 62.9,   8264, 216.398529, 1.250000, 0.905477
  3,  7.2,   1103,  28.882812, 1.641026, 0.518907
  4, 62.5,  33054, 865.541748, 1.333333, 0.806133
  5, 62.2,  24790, 649.143188, 1.000000, 0.805413
  6, 62.4,  24791, 649.169373, 1.333333, 0.720786
  7, 10.8,   1090,  28.542400, 1.689655, 0.439174
  8, 14.2,   1107,  28.987556, 1.663366, 0.520558
  9, 62.4,  41317, 1081.914062, 2.000000, 0.552006
 17,  9.7,   1084,  28.385284, 1.744681, 0.507102
 21, 62.6,  49581, 1298.312500, 2.000000, 0.653588
 30,  9.7,   1087,  28.463842, 1.642857, 0.499215
 50, 63.8,   8265, 216.424713, 1.692308, 0.553221
 98, 62.5,  41318, 1081.940308, 2.000000, 0.637565
126, 526.2,  19441, 509.075958, 1.571429, 0.440825
608, 330.6,      8,   0.209486, 1.000000, 0.563267
669, 308.1,     19,   0.497528, 1.000000, 0.542411
730, 941.8, 152892, 4003.582031, 5.000000, 0.471479
749, 668.4,  77951, 2041.200562, 7.000000, 0.451179
769, 972.6,     12,   0.314228, 1.000000, 0.457357
1024, 14.0,   1083,  28.359098, 1.471154, 0.481298
1575, 296.2, 215531, 5643.827637, 8.000000, 0.451418
1832, 640.0, 112340, 2941.700195, 6.000000, 0.439562
1878, 401.2, 208293, 5454.295410, 3.000000, 0.486325
2054, 756.5, 238686, 6250.157227, 3.000000, 0.478858
2171, 873.6,  25249, 661.162415, 5.750000, 0.441355
2248, 246.2,  64600, 1691.595459, 2.333333, 0.477850
